CookSeeZuleger-2013TACAS-Fig7a-alloca_true-termination.c.i_Iteration8_Lasso+nonterminationTemplate.smt2,0.43,unsat,0.14,0.14,0
Masse-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,0.01,unsat,0.08,0.08,0
c.03-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,2.32,unsat,0.52,0.52,0
b.17-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,2.38,unsat,0.54,0.54,0
HarrisLalNoriRajamani-2010SAS-Fig2-alloca_unknown-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,0.04,sat,0.03,0.04,1
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration7_Lasso+nonterminationTemplate.smt2,0.31,unsat,0.1,0.1,0
Urban-2013WST-Fig1-alloca_false-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,0.01,sat,0.02,0.01,1
BradleyMannaSipma-2005CAV-Fig1-alloca_unknown-termination.c.i_Iteration5_Lasso+nonterminationTemplate.smt2,0.38,unsat,1.16,1.16,0
Velroyen-alloca_false-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,0.01,sat,0.02,0.01,1
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2,0.34,unsat,0.13,0.13,0
b.13-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,1.99,unsat,0.44,0.44,0
ChenFlurMukhopadhyay-2012SAS-Fig1-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,0.18,unsat,0.1,0.1,0
java_AG313-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,0.51,unsat,0.16,0.16,0
linear_sea.ch_true-unreach-call.i_163.smt2,0.03,unsat,0.01,0.01,0
BradleyMannaSipma-2005CAV-Fig1-modified-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,0.05,sat,0.05,0.05,0
BrockschmidtCookFuhs-2013CAV-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,0.19,unsat,0.07,0.07,0
linear_sea.ch_true-unreach-call.i_77.smt2,0.03,unsat,0.01,0.01,0
b.09-no-inv_assume-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,0.45,unsat,0.13,0.13,0
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,0.27,unsat,0.24,0.24,0
gauss_sum_true-unreach-call.i.smt2,3.51,unsat,0.14,0.14,0
GulwaniJainKoskinen-2009PLDI-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,0.48,unsat,0.18,0.18,0
linear_sea.ch_true-unreach-call.i_76.smt2,0.03,unsat,0.01,0.01,0
